ds,yhat,yhat_lower,yhat_upper
2016-09-04,-34.085996987506306,-96.16436371995631,24.72011980985795
2016-09-05,9.424400797167422,-54.95155890929372,67.6824426208556
2016-09-13,9.166709085462262,-53.331210022996366,72.29941721100302
2016-09-15,-4.02405653499377,-62.31159066320898,58.53324680253065
2016-10-02,-29.01256795397203,-89.1008330604611,34.486449086946806
2016-10-03,16.091338696301513,-42.2555098597809,74.49910823668122
2016-10-04,17.52130054384491,-45.75873994320224,78.03164084716511
2016-10-05,16.124514901221588,-44.086342607327204,80.28377046142684
2016-10-06,11.890627822206566,-50.236248229328694,72.87899575207555
2016-10-07,10.538140251902597,-52.99223902967222,70.29229194594967
2016-10-08,-23.27435854904507,-83.29837445376207,41.64034624450763
2016-10-09,-10.244643539306415,-72.31946149033996,52.67320389887108
2016-10-10,33.97029997314372,-24.822895553439032,92.4617055652731
2016-10-22,-40.69580201391143,-99.37797351022817,19.705938766639033
2016-12-23,-38.22475923777582,-101.28858015946149,23.504396611926456
2017-01-05,33.56436696949197,-25.61329053199509,95.51954664520822
2017-01-06,35.612454431479925,-29.141055424561753,95.38407764778943
2017-01-07,4.937960593740939,-58.62974120391527,62.73867787130727
2017-01-08,20.846420032839152,-37.10256865977355,83.78881370254254
2017-01-09,67.7104552215963,9.1639991679802,131.2065765934272
2017-01-10,70.14808213678917,9.526526560081654,132.29857665375553
2017-01-11,69.06728753594395,8.320175329207315,129.05591028923595
2017-01-12,64.54184268871086,5.93524716526087,120.52004277015996
2017-01-13,62.394386044188934,-2.818914953331964,123.04910513521295
2017-01-14,27.40376843625212,-33.252160288121864,94.28062996423273
2017-01-15,39.00426157898177,-23.608286474110653,96.99701054675842
2017-01-16,81.67804843084481,23.971084727081685,141.5171843499182
2017-01-17,80.14259453329697,20.564117680984005,141.6447980747372
2017-01-18,75.3931645685526,13.217519561442922,135.2881062363001
2017-01-19,67.57698074664225,8.488751273227843,126.70075871401363
2017-01-20,62.57508579456147,-2.633875276485948,125.21988484447445
